Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,34.8,specimens,l,S,W
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,20,specimens,ml,S,W
2017,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,ZA,MW,,,120,specimens,,S,W
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,ES,1,,live,,T,C
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,GB,2,,live,,T,C
2017,I,Falco rusticolus,Aves,Falconiformes,Falconidae,Falco,SI,AE,US,1,,live,,T,D
2017,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,BG,NA,,1,,trophies,,H,W
2017,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,MW,ZA,,14,,live,,N,W
2017,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,ZW,,0,,trophies,,H,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,CZ,RW,,,52,specimens,g,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,KE,RW,,,0.5,specimens,ml,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4901,specimens,g,S,W
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4.8,specimens,ml,S,W
2017,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,KE,RW,,,0.5,specimens,ml,S,W
2017,I,Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,RW,ZA,,18,,live,,N,R
2017,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,RS,HR,,1,,live,,T,C
2017,II,Accipiter gentilis,Aves,Falconiformes,Accipitridae,Accipiter,RS,RO,,2,,live,,T,C
2017,II,Accipitridae hybrid,Aves,Falconiformes,Accipitridae,,RS,SK,CZ,1,,live,,T,C
2017,II,Busarellus nigricollis,Aves,Falconiformes,Accipitridae,Busarellus,US,PE,,,4,specimens,,S,W
2017,II,Buteo magnirostris,Aves,Falconiformes,Accipitridae,Buteo,US,PE,,,4,specimens,,S,W
2017,II,Leucopternis kuhli,Aves,Falconiformes,Accipitridae,Leucopternis,US,PE,,,4,specimens,,S,W
2017,II,Spizaetus tyrannus,Aves,Falconiformes,Accipitridae,Spizaetus,US,PE,,,1,live,,T,C
2017,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CH,BG,,,22.195,caviar,kg,T,C
2017,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,CH,BG,,,3.69,caviar,kg,T,C
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,MO,US,,2,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,RS,US,,5,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,JP,MO,US,,2,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MG,FR,US,1566,,skin pieces,,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,AU,US,3,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,BE,US,2,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,US,6,,leather products (small),,T,C
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,CH,US,2,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,US,5,,jewellery,,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,FR,US,32,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,GB,US,1,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,US,3,,leather products (large),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,MO,IT,US,19,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,AT,US,1,,leather products (small),,T,C
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,CH,US,19,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,NL,US,1,,leather products (small),,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,RS,US,,62,,specimens,,T,W
2017,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,SI,CH,US,4,,leather products (small),,T,W
2017,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,CH,VE,2,,leather products (small),,T,W
2017,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,VE,53,,leather products (small),,T,W
2017,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MG,FR,CO,25,,skin pieces,,T,C
2017,II,Caiman crocodilus fuscus,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,CO,4,,leather products (small),,T,C
2017,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,BR,XX,12,,leather products (small),,T,R
2017,II,Caiman crocodilus yacare,Reptilia,Crocodylia,Alligatoridae,Caiman,MO,IT,BO,45,,leather products (small),,T,W
2017,II,Rhipsalis spp.,,Caryophyllales,Cactaceae,Rhipsalis,DE,AO,,,1,specimens,,S,W
2017,II,Lama guanicoe,Mammalia,Artiodactyla,Camelidae,Lama,PE,AR,,151.14,,hair,kg,T,W
2017,II,Lama guanicoe,Mammalia,Artiodactyla,Camelidae,Lama,US,PE,AR,,1,garments,,T,W
2017,II,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,GB,PE,,,3,garments,,T,W
2017,II,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,IT,PE,,,943.351,hair,kg,T,W
2017,II,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,US,PE,,,10,garments,,T,W
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,CZ,RW,,,24,specimens,g,S,W
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,KE,RW,,,0.5,specimens,ml,S,W
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,RW,,,1.6,specimens,ml,S,W
2017,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,RW,,,12,specimens,ml,S,W
2017,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,ET,,,3,trophies,,H,W
2017,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,KE,RW,,,0.25,specimens,ml,S,W
2017,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,US,RW,,,28.8,specimens,ml,S,W
2017,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,BE,ET,,,1,trophies,,H,W
2017,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,CN,ET,,,150,live,,T,W
2017,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,DE,ET,,,1,trophies,,H,W
2017,II,Colobus guereza,Mammalia,Primates,Cercopithecidae,Colobus,US,ET,,,10,trophies,,H,W
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,KE,RW,,,0.25,specimens,ml,S,W
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,ET,,,1,trophies,,H,W
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,RW,,,13.6,specimens,ml,S,W
2017,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,ZA,ET,,,1,skulls,,H,W
2017,II,Papio hamadryas,Mammalia,Primates,Cercopithecidae,Papio,CA,ET,,,1,trophies,,H,W
2017,II,Papio hamadryas,Mammalia,Primates,Cercopithecidae,Papio,US,ET,,,13,trophies,,H,W
2017,II,Theropithecus gelada,Mammalia,Primates,Cercopithecidae,Theropithecus,US,ET,,,5,trophies,,H,W
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,BG,ZW,,1,,trophies,,H,W
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ES,MO,ZW,,1,leather products (small),,T,C
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,ET,,,4,skins,,T,R
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,IT,MW,,,5035,skins,,T,R
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MO,FR,ZW,5,,leather products (small),,T,R
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,MO,IT,ZW,6,,leather products (small),,T,R
2017,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZW,MW,,,414,skins,,T,W
2017,II,Micrastur gilvicollis,Aves,Falconiformes,Falconidae,Micrastur,US,PE,,,3,specimens,,S,W
2017,II,Micrastur mirandollei,Aves,Falconiformes,Falconidae,Micrastur,US,PE,,,4,specimens,,S,W
2017,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,US,ET,,,1,trophies,,H,W
2017,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,MX,ET,,,1,trophies,,H,W
2017,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ET,,,4,trophies,,H,W
2017,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,RW,ZA,,2,,live,,N,W
2017,II,Balearica regulorum,Aves,Gruiformes,Gruidae,Balearica,US,RW,,,500,specimens,g,S,W
2017,II,Balearica regulorum,Aves,Gruiformes,Gruidae,Balearica,ZA,RW,,,2000,specimens,g,S,W
2017,II,Hominidae spp.,Mammalia,Primates,Hominidae,,CG,AO,,,1,live,,Z,I
